,tokens,surprisals,critical,island
0,書,4.6666511,0,non-island
0,い,2.3631086,0,non-island
0,た,0.6232352,0,non-island
0,エ,6.475675,0,non-island
0,ッ,1.8722929,0,non-island
0,セ,0.21057454,0,non-island
0,ー,3.064842,0,non-island
0,が,1.0255501,0,non-island
0,権,3.2374039,0,non-island
0,威,0.1317136228,0,non-island
0,あ,1.0842512,0,non-island
0,る,0.025143806,0,non-island
0,文,0.835369815,0,non-island
0,学,1.5589220422,0,non-island
0,賞,0.15364380319333300,0,non-island
0,を,0.5847775,0,non-island
0,受,0.083207602,0,non-island
0,賞,0.0058219167883333300,0,non-island
0,し,0.19270274,0,non-island
0,た,0.019673165,0,non-island
0,の,5.63752,0,non-island
0,で,4.8910055,0,non-island
0,女,12.26365,1,non-island
0,性,0.5567615986750000,1,non-island
0,議,3.2437133333333300,1,non-island
0,員,0.00978442032544,1,non-island
0,は,0.53058857,1,non-island
0,感,1.932163665,0,non-island
0,謝,1.52290782383,0,non-island
0,を,4.172043,0,non-island
0,述,0.7662540535,0,non-island
0,べ,0.00015714497000000000,0,non-island
0,た,0.17940293,0,non-island
0,。,0.05868133,0,non-island
1,発,4.576957566666670,0,non-island
1,表,0.8862877,0,non-island
1,し,3.2620418,0,non-island
1,た,0.24895349,0,non-island
1,論,1.0074827263333300,0,non-island
1,文,0.000736476465,0,non-island
1,が,1.4785388,0,non-island
1,世,1.7688786290000000,0,non-island
1,界,0.07306598,0,non-island
1,中,2.3219223,0,non-island
1,者,1.7083223,0,non-island
1,か,0.52283657,0,non-island
1,ら,0.0008222993,0,non-island
1,注,2.0458839428000000,0,non-island
1,目,0.012247438966500000,0,non-island
1,さ,0.12980598,0,non-island
1,れ,0.00034214277,0,non-island
1,た,0.25312454,0,non-island
1,の,5.521619,0,non-island
1,で,6.204917,0,non-island
1,教,6.3117567800000000,0,non-island
1,授,0.09818494070000000,0,non-island
1,は,0.923817,1,non-island
1,多,5.28157325,1,non-island
1,忙,0.9697117605,1,non-island
1,を,5.231891,0,non-island
1,忙,0.039377616000000000,0,non-island
1,め,0.018714470900000000,0,non-island
1,た,0.33614028,0,non-island
1,。,0.07186359,0,non-island
2,購,5.043821666666670,0,non-island
2,入,0.18949644213,0,non-island
2,し,1.7468028,0,non-island
2,た,0.1661913,0,non-island
2,絵,1.8282341900000000,0,non-island
2,画,1.6942634989450000,0,non-island
2,が,1.5614415,0,non-island
2,ピ,4.8705321,0,non-island
2,カ,1.9162729,0,non-island
2,ソ,2.3086011,0,non-island
2,の,1.6846162,0,non-island
2,作,1.6143211,0,non-island
2,品,0.11490114656666700,0,non-island
2,だ,2.192907,0,non-island
2,っ,0.80819845,0,non-island
2,た,0.001401227,0,non-island
2,の,3.0752995,0,non-island
2,で,0.93472296,0,non-island
2,美,3.370152733333330,0,non-island
2,術,0.059710470965,0,non-island
2,館,0.10024615817666700,1,non-island
2,長,2.583130466666670,1,non-island
2,は,0.9000547,1,non-island
2,展,2.779624233333330,1,non-island
2,示,0.08291893007910670,1,non-island
2,会,0.5805009135,0,non-island
2,を,1.271005,0,non-island
2,計,1.6435946666666700,0,non-island
2,画,0.0013685182245000000,0,non-island
2,し,0.06041072,0,non-island
2,た,0.5557537,0,non-island
2,。,0.23318064,0,non-island
3,演,4.722245466666670,0,non-island
3,じ,2.250042905,0,non-island
3,た,0.72708255,0,non-island
3,芝,2.3311603,0,non-island
3,居,0.017863217500000000,0,non-island
3,が,1.3687955,0,non-island
3,連,2.791033425,0,non-island
3,日,0.7385576200062,0,non-island
3,チ,7.169591,0,non-island
3,ケ,2.2395864,0,non-island
3,ット,0.00049872854,0,non-island
3,が,1.1223345,0,non-island
3,完,2.1177412,0,non-island
3,売,0.0018495184,0,non-island
3,し,0.4258141,0,non-island
3,た,0.6299671,0,non-island
3,の,5.543795,0,non-island
3,で,4.478838,0,non-island
3,役,4.76565215,0,non-island
3,者,0.16515525,0,non-island
3,は,1.0820218,1,non-island
3,海,4.79610185,1,non-island
3,外,0.014964951362,1,non-island
3,に,2.6104653,0,non-island
